Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
009,2.762979757764773,0.7055590227334224,10:33:13.699,+40:25:31.995,2014-10-19T22:30:37.955,2,0.0026544071495672237,-1.7703456103329362,FoVP,-0.5833428207749853,0.7112799091650054,2456950.436566357
009,2.762979757764773,0.7055590227334224,10:33:13.699,+40:25:31.995,2014-10-20T00:17:12.170,6,-0.0017117424754780103,-1.7735519013256877,FoVF,-0.5818593099939322,0.7130420803129316,2456950.510579318
009,2.762979757764773,0.7055590227334224,10:33:13.699,+40:25:31.995,2014-11-16T22:17:14.166,6,-0.004308053453829905,2.7886770979920086,FoVP,0.7062992051188343,0.7067654414529011,2456978.429658232
009,2.762979757764773,0.7055590227334224,10:33:13.699,+40:25:31.995,2014-11-17T00:03:48.373,4,0.0011560200711183994,2.788094794588573,FoVF,0.7062419604155156,0.706782702838247,2456978.503671819
009,2.762979757764773,0.7055590227334224,10:33:13.699,+40:25:31.995,2014-12-10T23:54:44.509,1,0.005418172070025714,-2.2208081453675175,FoVF,-0.5997987237311007,0.7055009895671236,2457002.499437302
009,2.762979757764773,0.7055590227334224,10:33:13.699,+40:25:31.995,2014-12-11T04:08:24.540,7,-0.006960751398938717,-2.2162597576788654,FoVP,-0.6035824321172987,0.700962745250432,2457002.6756092333
009,2.762979757764773,0.7055590227334224,10:33:13.699,+40:25:31.995,2015-05-02T11:53:51.330,7,-0.0066286861004694045,-0.22813048796919683,FoVP,0.6926342636736225,0.7186963626710173,2457144.9978010873
009,2.762979757764773,0.7055590227334224,10:33:13.699,+40:25:31.995,2015-05-02T13:40:25.547,5,-0.0013704741813028707,-0.22755234375598368,FoVF,0.6919103565804651,0.7196926400691628,2457145.071801939
009,2.762979757764773,0.7055590227334224,10:33:13.699,+40:25:31.995,2015-06-02T11:35:25.064,5,-0.0031251808739116696,1.0309508296858438,FoVP,-0.670862831161711,0.7228075366770812,2457175.9823375056
009,2.762979757764773,0.7055590227334224,10:33:13.699,+40:25:31.995,2015-06-26T05:37:29.137,5,-0.002795951841237774,-0.48905609984171455,FoVP,0.43150779235167963,0.7268794031223773,2457199.7319871797
009,2.762979757764773,0.7055590227334224,10:33:13.699,+40:25:31.995,2015-06-26T07:24:03.330,4,4.4238337092950437E-4,-0.49312429006955416,FoVF,0.43353008857961034,0.7250044151147369,2457199.805989176
009,2.762979757764773,0.7055590227334224,10:33:13.699,+40:25:31.995,2015-10-30T19:27:12.621,2,0.003980171383996123,-1.8071562123234666,FoVF,-0.6643313548469669,0.7102602482242754,2457326.3100839076
009,2.762979757764773,0.7055590227334224,10:33:13.699,+40:25:31.995,2015-12-01T05:13:49.609,4,-0.0013451013562529753,2.692145849755727,FoVP,0.6715162398743056,0.7064783176656995,2457357.720205751
009,2.762979757764773,0.7055590227334224,10:33:13.699,+40:25:31.995,2015-12-01T07:00:23.812,2,0.004005543437016566,2.6935220581488353,FoVF,0.6699000036462247,0.7076562690088548,2457357.794219077
009,2.762979757764773,0.7055590227334224,10:33:13.699,+40:25:31.995,2015-12-20T23:13:01.211,5,-0.0023791089695767743,-2.4077997711483246,FoVP,-0.50228254189023,0.7047817672462146,2457377.4712285516
009,2.762979757764773,0.7055590227334224,10:33:13.699,+40:25:31.995,2016-03-24T01:44:57.296,7,-0.0065985181142815775,0.6456306280752847,FoVP,0.23037928550498948,0.7034253199569374,2457471.5778007577
009,2.762979757764773,0.7055590227334224,10:33:13.699,+40:25:31.995,2016-03-24T03:31:31.587,7,-0.0037291823667906414,0.6502109815586643,FoVF,0.22655395559103775,0.7053745070171297,2457471.6518046483
009,2.762979757764773,0.7055590227334224,10:33:13.699,+40:25:31.995,2016-03-24T07:45:11.621,2,0.0029848682004449565,0.6611836915672118,FoVP,0.21735280513633906,0.7099429308091235,2457471.827952643
009,2.762979757764773,0.7055590227334224,10:33:13.699,+40:25:31.995,2016-03-24T09:31:45.760,1,0.005756183644164923,0.665822942613294,FoVF,0.2134467387281494,0.7118315770073234,2457471.901954763
009,2.762979757764773,0.7055590227334224,10:33:13.699,+40:25:31.995,2016-04-03T09:38:15.315,1,0.006488379742836894,1.3564325996536994,FoVF,-0.4240768412413312,0.7139300171199414,2457481.9058495504
009,2.762979757764773,0.7055590227334224,10:33:13.699,+40:25:31.995,2016-04-03T13:51:55.233,4,-8.975849542621096E-4,1.3668717902385417,FoVP,-0.4337770010405898,0.7097661517899223,2457482.081994264
009,2.762979757764773,0.7055590227334224,10:33:13.699,+40:25:31.995,2016-04-03T15:38:29.479,7,-0.004068554794054926,1.3712082819207452,FoVF,-0.4378111629575601,0.707999136099004,2457482.1559968013
