Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2014-08-25T07:58:16.146,3,5.22696113308659E-4,2.815292551244196,FoVP,-0.5332356975879284,0.725572390636944,2456894.8359304406
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2014-08-25T09:44:50.370,7,-0.004080405081086631,2.8178344010354555,FoVF,-0.5355284075647567,0.7233254984409816,2456894.9099422577
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2014-11-14T20:43:08.627,4,-0.0011971808903476682,0.19140953920365208,FoVP,0.1076602894443195,0.7062543629838854,2456976.3683259427
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2014-11-14T22:29:42.843,4,4.761431780951412E-4,0.19663817228560915,FoVF,0.10292632000526086,0.7074167532351269,2456976.442330256
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2014-11-15T02:43:22.760,1,0.004283733710798323,0.20913907889648994,FoVP,0.09158270027551144,0.710062157641041,2456976.6184799694
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2014-11-15T04:29:56.878,1,0.005808967401106715,0.21441343071292007,FoVF,0.08678613346707523,0.711121819015175,2456976.6924831257
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2014-11-19T20:47:27.642,1,0.0037542703954599414,0.5571200193060171,FoVP,-0.2316152326804313,0.7091358045499107,2456981.3711185753
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2014-11-19T22:34:01.798,3,0.00210198873631799,0.5623677242539851,FoVF,-0.23649793727482096,0.7080277837779169,2456981.445121757
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2014-11-20T02:47:41.815,5,-0.002030358166471983,0.574794721834576,FoVP,-0.24805432297306027,0.7052738847403736,2456981.621271579
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2014-11-20T04:34:16.077,7,-0.0038498075135736435,0.5799875344701628,FoVF,-0.25288080672182545,0.7040689077824697,2456981.6952759596
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2014-12-31T13:41:24.633,3,4.068030707768695E-4,-1.125259562044737,FoVP,0.6732122244339288,0.6999199033943777,2457023.0726030413
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2014-12-31T15:27:58.836,1,0.005928501989683715,-1.1246393192106807,FoVF,0.6723405238806486,0.7010521941160713,2457023.1466042968
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2015-01-28T03:11:08.868,2,0.00443172601394209,0.10330487352351499,FoVF,-0.6787001038048023,0.7034451383167681,2457050.632735982
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2015-02-22T19:20:05.580,3,9.600691629415673E-4,-1.6079830409285676,FoVP,0.5050050098808394,0.7036145990925731,2457076.3037748113
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2015-02-22T21:06:39.829,2,0.004717304598468714,-1.6119862626043429,FoVF,0.5068173911724962,0.7017695202824623,2457076.377777674
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2015-06-23T08:54:08.688,2,0.0037472137834086996,-2.6761659124944557,FoVF,-0.6559054188943244,0.7231758805197459,2457196.870087827
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2015-06-23T13:07:48.673,7,-0.00685492485195965,-2.6825573256204787,FoVP,-0.6532080369868766,0.7266009270621618,2457197.046257605
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2015-07-25T12:47:30.797,2,0.0017359005622875918,1.7558021212517998,FoVP,0.7180070721701336,0.7278401661975469,2457229.034605794
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2015-07-25T14:34:05.005,1,0.006941839175536543,1.7559209826106656,FoVF,0.7173074654272036,0.7283959721114102,2457229.1086185444
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2015-08-18T00:42:59.060,1,0.0033962519412688496,2.967104222582602,FoVP,-0.6008685717627134,0.7258135796902904,2457252.533184826
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2015-08-18T02:29:33.263,5,-0.001490143409182863,2.969002097720058,FoVF,-0.6026477446324454,0.7238340229831639,2457252.607196807
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2015-11-23T03:37:28.106,5,-0.0022922971394127322,-0.21998722382202535,FoVP,0.30206372054386077,0.7058972396648472,2457349.6557347346
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2015-11-23T05:24:02.325,4,0.0010911519870289495,-0.21564020989164684,FoVF,0.2982231769047788,0.7080569593378456,2457349.729738383
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2015-12-04T15:43:51.868,4,-0.0012597846817281842,0.5701451527702468,FoVP,-0.4601014378403766,0.7062746777131264,2457361.159560592
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2016-01-11T04:35:11.143,6,-0.0017242080450301583,-1.2613095283676885,FoVF,0.7030179459807302,0.6995141421112895,2457398.6924910657
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2016-02-12T02:25:08.856,3,0.0012842440023312044,-0.133784365313068,FoVP,-0.5987780125939215,0.706589231420332,2457430.5997122056
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2016-02-12T04:11:43.056,6,-0.002688605473794623,-0.13760931139196916,FoVF,-0.5965075599791858,0.7080509678340323,2457430.6737138825
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2016-03-04T14:30:11.461,5,-0.0020843536682320974,-1.6341284039907265,FoVP,0.3739889305191611,0.7073285335332534,2457452.101866018
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2016-03-04T16:16:45.661,4,7.670985813727046E-4,-1.6387875195936108,FoVF,0.37616932891801313,0.7056201652683213,2457452.17586905
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2016-05-11T04:20:08.282,1,0.005652959947941591,-2.6920816073266525,FoVF,-0.05775106428117508,0.7151651920702979,2457519.677507846
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2016-05-11T08:33:48.497,1,0.003574938402221822,-2.7044427647544427,FoVP,-0.051608007927103114,0.716724796468206,2457519.8536736313
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2016-05-11T10:20:22.763,3,0.0027216651644050263,-2.7096388474163344,FoVF,-0.04901605215379272,0.7173655339111116,2457519.9276838186
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2016-05-11T14:34:02.856,3,7.381085227497026E-4,-2.722013874148227,FoVP,-0.04282011575918043,0.718855786032727,2457520.103848238
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2016-05-11T16:20:37.072,5,-7.511993587420848E-5,-2.7272157098898666,FoVF,-0.04020607942393082,0.7194670809729642,2457520.1778578646
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2016-05-11T20:34:17.048,5,-0.0019624994745420015,-2.739604241559335,FoVP,-0.03395793490306723,0.7208865249095464,2457520.354020981
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2016-05-11T22:20:51.215,6,-0.0027349592032122954,-2.744811667149968,FoVF,-0.03132212086188018,0.7214677676357852,2457520.428030074
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2016-05-12T02:34:31.080,6,-0.004524427685760518,-2.757213290724021,FoVP,-0.025022538371735868,0.7228149576059415,2457520.6041919533
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2016-05-12T08:34:44.961,7,-0.006945188478973868,-2.774840374876957,FoVP,-0.016015139863376205,0.7246390468226573,2457520.8543612487
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2016-05-19T08:40:51.549,7,-0.006721779306033195,3.0125543309177205,FoVP,0.2563239739530508,0.7266934191231716,2457527.858875353
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2016-05-19T14:41:05.458,6,-0.0038969591308295466,2.995042385960059,FoVP,0.26632773427607104,0.7248758604912247,2457528.109047041
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2016-05-19T16:27:39.606,6,-0.0030191700989024087,2.9898690634389653,FoVF,0.26928438188524084,0.7243130752155145,2457528.183056565
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2016-05-19T20:41:19.544,4,-8.518628285449358E-4,2.977569228616371,FoVP,0.27631611411097406,0.7229276536543268,2457528.3592208475
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2016-05-19T22:27:53.747,5,9.155161319573475E-5,2.972407980284193,FoVF,0.2792675767243483,0.7223264326352188,2457528.433231026
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2016-05-20T02:41:33.819,2,0.0024159009918337687,2.960138003476673,FoVP,0.28628582570835137,0.7208499581195438,2457528.609396917
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2016-05-20T04:28:08.081,3,0.0034256395820311107,2.9549897732714747,FoVF,0.28923115154160195,0.7202106781156838,2457528.6834077924
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2016-05-20T10:28:22.620,1,0.0069854246819907664,2.9376176785784085,FoVF,0.2991719674457463,0.7179672003860624,2457528.933587008
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2016-07-04T02:17:51.237,2,0.0024328031854664095,-2.7628501564023438,FoVP,-0.7067298301816852,0.7229212337720298,2457573.5957512935
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2016-07-04T04:04:25.446,6,-0.0024407264362230397,-2.764656183715788,FoVF,-0.706102512923273,0.7237694496168355,2457573.6697639585
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2016-08-27T13:46:32.647,2,0.002218110544972106,2.7507980066893007,FoVP,-0.5050759165676728,0.721508699663276,2457628.077992801
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2016-08-27T15:33:06.857,6,-0.00224403745403463,2.753591216710121,FoVF,-0.5075633320696435,0.7191908188711624,2457628.1520042852
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2016-12-01T10:35:57.475,5,-0.0035703112903999676,-0.5234959361076943,FoVP,0.43626792707165646,0.705306216037776,2457723.9458924155
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2016-12-01T12:22:31.701,4,7.524755237137507E-4,-0.5200527959405928,FoVF,0.43326208466247307,0.7077148735914812,2457724.019895451
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2016-12-17T10:39:31.827,1,0.0047651839754460626,0.4980481470240008,FoVP,-0.5887758627277898,0.709640285615271,2457739.9473491875
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2016-12-17T12:26:06.015,5,-9.266189516296582E-5,0.5007286361951133,FoVF,-0.5915673340168623,0.7077827352216786,2457740.021350786
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2017-01-20T23:43:32.271,7,-0.0037683032169351476,-1.37443132708831,FoVF,0.7026400995682891,0.7011493921479192,2457774.4891360253
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2017-02-27T12:38:42.173,3,0.002952478801408791,-0.4999216675012374,FoVF,-0.4444529162942407,0.7085106716017879,2457812.0247575026
009,0.08072672610979852,0.7684465570443447,00:18:30.072,+44:01:43.480,2017-02-27T16:52:22.199,5,-0.002593234417067221,-0.5117191742923991,FoVP,-0.43741925063190196,0.7115517596811,2457812.2009049775
