Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
009,0.0805159880745957,0.7683774804032092,00:18:27.174,+44:01:29.232,2014-08-25T07:58:16.204,3,3.5699172918798573E-4,2.815146112547227,FoVP,-0.5332274970804697,0.7254918143130384,2456894.835931857
009,0.0805159880745957,0.7683774804032092,00:18:27.174,+44:01:29.232,2014-08-25T09:44:50.430,7,-0.004246067289377621,2.8176880419477843,FoVF,-0.5355204543955319,0.7232447687126068,2456894.9099436905
009,0.0805159880745957,0.7683774804032092,00:18:27.174,+44:01:29.232,2014-11-14T14:42:53.824,7,-0.007034057436357472,0.17369434858661867,FoVP,0.12345324779728718,0.7022028398552006,2456976.1181635805
009,0.0805159880745957,0.7683774804032092,00:18:27.174,+44:01:29.232,2014-11-14T20:43:08.295,4,-0.0010616356555449642,0.19126266668730163,FoVP,0.10759302146085364,0.7063491604058343,2456976.368321602
009,0.0805159880745957,0.7683774804032092,00:18:27.174,+44:01:29.232,2014-11-14T22:29:42.509,4,6.111829534021099E-4,0.1964914590787442,FoVF,0.10285851671822915,0.7075111484369027,2456976.442325887
009,0.0805159880745957,0.7683774804032092,00:18:27.174,+44:01:29.232,2014-11-15T02:43:22.419,1,0.004417550236888196,0.20899273706665272,FoVP,0.09151362029444257,0.7101555758693019,2456976.6184755308
009,0.0805159880745957,0.7683774804032092,00:18:27.174,+44:01:29.232,2014-11-15T04:29:56.535,1,0.0059422616048496356,0.21426724131167013,FoVF,0.08671651673858587,0.7112148186435665,2456976.6924786577
009,0.0805159880745957,0.7683774804032092,00:18:27.174,+44:01:29.232,2014-11-19T20:47:27.164,1,0.0038465004235150968,0.556973661373209,FoVP,-0.2317074244682256,0.7091969206256638,2456981.3711124887
009,0.0805159880745957,0.7683774804032092,00:18:27.174,+44:01:29.232,2014-11-19T22:34:01.319,3,0.0021934935761136025,0.5622211378483992,FoVF,-0.23659017275316743,0.7080884180204591,2456981.4451156505
009,0.0805159880745957,0.7683774804032092,00:18:27.174,+44:01:29.232,2014-11-20T04:34:15.592,7,-0.0037607557164641343,0.5798401129060509,FoVF,-0.25297310574365034,0.7041279498190149,2456981.695269786
009,0.0805159880745957,0.7683774804032092,00:18:27.174,+44:01:29.232,2014-12-31T13:41:25.001,3,5.347551192976562E-4,-1.1254060690208854,FoVP,0.6732342241980683,0.6999461349643049,2457023.072606369
009,0.0805159880745957,0.7683774804032092,00:18:27.174,+44:01:29.232,2014-12-31T15:27:59.204,1,0.0060565200065186686,-1.1247864154118299,FoVF,0.6723632900943232,0.7010779164273376,2457023.1466076206
009,0.0805159880745957,0.7683774804032092,00:18:27.174,+44:01:29.232,2015-01-28T03:11:08.577,2,0.004575560911287334,0.103158875220405,FoVF,-0.6786862614736026,0.7034199993907445,2457050.6327317106
009,0.0805159880745957,0.7683774804032092,00:18:27.174,+44:01:29.232,2015-02-22T19:20:06.109,3,0.0010237799890086285,-1.6081299947885515,FoVP,0.5049295925335443,0.7035831895892796,2457076.303780236
