#   Copyright (c) European Space Agency, 2024.
#
#   This file is subject to the terms and conditions defined in file 'LICENCE.txt', which
#   is part of this source code package. No part of the package, including
#   this file, may be copied, modified, propagated, or distributed except according to
#   the terms contained in the file ‘LICENCE.txt’.
 20114916805338633 1 2456958.110978  147.066 0.370  0.70827985  -59.04672662 0
 20114916805338633 2 2456958.111034  146.696 0.231  0.70827991  -59.04677105 0
 20114916805338633 3 2456958.111091  146.685 0.183  0.70828003  -59.04681553 0
 20114916805338633 4 2456958.111156  146.557 0.151  0.70828015  -59.04686711 0
 20114916805338633 5 2456958.111203  146.396 0.097  0.70828021  -59.04690435 0
 20114916805338633 6 2456958.111259  146.374 0.088  0.70828027  -59.04694869 0
 20114916805338633 7 2456958.111325  146.436 0.100  0.70828038  -59.04700014 0
 20114916805338633 8 2456958.111372  146.060 0.100  0.70828044  -59.04703723 1
 20114916805338633 9 2456958.111437  146.256 0.130  0.70828056  -59.04708855 0
 20119009095238725 1 2456958.184993  146.244 0.364  0.70847327  -59.11055165 0
 20119009095238725 2 2456958.185043  146.148 0.296  0.70847344  -59.11059886 0
 20119009095238725 3 2456958.185105  146.192 0.267  0.70847368  -59.11065699 0
 20119009095238725 4 2456958.185162  146.271 0.225  0.70847386  -59.11070963 0
 20119009095238725 5 2456958.185218  146.047 0.273  0.70847410  -59.11076223 0
 20119009095238725 6 2456958.185274  146.068 0.158  0.70847428  -59.11081482 0
 20119009095238725 7 2456958.185330  146.023 0.177  0.70847452  -59.11086742 0
 20119009095238725 8 2456958.185386  146.095 0.191  0.70847470  -59.11092003 0
 22150086612000799 1 2456994.910525  379.996 0.446 -0.46657142   -5.11437719 0
 22150086612000799 2 2456994.910581  380.038 0.375 -0.46656913   -5.11459368 0
 22150086612000799 3 2456994.910638  379.977 0.336 -0.46656680   -5.11481035 0
 22150086612000799 4 2456994.910694  380.099 0.224 -0.46656451   -5.11502706 0
