Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
009,0.020816711285473816,0.02682229673913595,00:04:46.250,+01:32:12.496,2014-08-09T04:07:15.224,1,0.006908347949128768,2.732649570050144,FoVF,-0.011971214882005178,0.7321371033696008,2456878.6768518863
009,0.020816711285473816,0.02682229673913595,00:04:46.250,+01:32:12.496,2014-08-09T08:20:55.245,1,0.003961383256038009,2.7326014450633895,FoVP,-0.011963671417512395,0.7299990371952437,2456878.8530218047
009,0.020816711285473816,0.02682229673913595,00:04:46.250,+01:32:12.496,2014-08-09T10:07:29.455,3,0.0027232608597811884,2.7325812264581497,FoVF,-0.011960563488372801,0.7290988752689136,2456878.9270340065
009,0.020816711285473816,0.02682229673913595,00:04:46.250,+01:32:12.496,2014-08-09T16:07:43.684,5,-0.001462154834417901,2.7325128790077793,FoVF,-0.011950326024808921,0.726047681506208,2456879.1772160414
009,0.020816711285473816,0.02682229673913595,00:04:46.250,+01:32:12.496,2014-08-09T20:21:23.704,6,-0.004409583352005005,2.7324647473825934,FoVP,-0.011943365594480568,0.7238913808029387,2456879.35338584
009,0.020816711285473816,0.02682229673913595,00:04:46.250,+01:32:12.496,2014-11-09T19:55:25.999,7,-0.006810449915484161,-0.22517190433392337,FoVP,-0.11868466988860452,0.7029420284202261,2456971.3352130535
009,0.020816711285473816,0.02682229673913595,00:04:46.250,+01:32:12.496,2014-11-10T01:55:40.629,7,-0.0058620210632357615,-0.20668095884068546,FoVP,-0.132311324918688,0.7035884937076146,2456971.5853640307
009,0.020816711285473816,0.02682229673913595,00:04:46.250,+01:32:12.496,2014-11-10T07:55:55.211,6,-0.005311898709297112,-0.18817180291032784,FoVP,-0.1460125365277265,0.7039542058582207,2456971.835514383
009,0.020816711285473816,0.02682229673913595,00:04:46.250,+01:32:12.496,2014-11-10T13:56:09.772,6,-0.005166998110763771,-0.1696529010477079,FoVP,-0.1597764659020102,0.7040377229218011,2456972.085664405
009,0.020816711285473816,0.02682229673913595,00:04:46.250,+01:32:12.496,2014-11-10T19:56:24.337,7,-0.005433928460441827,-0.15113316034243052,FoVP,-0.17359093375538667,0.7038382706414502,2456972.335814396
009,0.020816711285473816,0.02682229673913595,00:04:46.250,+01:32:12.496,2014-11-11T01:56:38.931,7,-0.006118965626967355,-0.13262191305282056,FoVP,-0.18744349861761192,0.7033557762912782,2456972.5859646597
009,0.020816711285473816,0.02682229673913595,00:04:46.250,+01:32:12.496,2014-12-22T03:05:07.072,7,-0.0035450967375261692,-1.1936432705087334,FoVF,0.7028639245819501,0.7012837910419272,2457013.629732663
