# Gaia DR4 pre-release epoch astrometry for Gaia-4 (Gaia DR3 source_id 1457486023639239296).
#
# Copyright (c) European Space Agency / Gaia DPAC.
# Source data: gaia-dr4-prerelease-epoch-astrometry_2026-06-26.zip
#   https://www.cosmos.esa.int/web/gaia/dr4-prerelease
# Data license: https://www.cosmos.esa.int/web/gaia-users/license
# Please acknowledge and cite Gaia as described at
#   https://gea.esac.esa.int/archive/documentation/GDR3/Miscellaneous/sec_credit_and_citation_instructions/
#
# Derived from the official VOTABLE by flattening the per-transit array-valued
# columns (10 CCD observations per transit: SM, AF1..AF9) into one row per CCD
# observation. See the "Where these files came from" section of
# docs/src/gaia-dr4-prerelease.md for the exact conversion.
#
# Conversions applied to the raw VOTABLE:
#   epoch          : obs_time_tcb [ns since JD 2455197.5, TCB] -> MJD
#   scan_pos_angle : left in DEGREES, exactly as published (unit="deg")
#   parallax_factor_al : per-transit scalar, broadcast to each CCD of the transit
#   outlier_flag   : 0 where used_by_agis_al is true, else 1
# No angle unit conversion is applied: every angle in this file is in degrees.
# Rows where any required quantity was masked in the VOTABLE were dropped (73 of 1150).
#
# 1077 CCD observations over 115 transits; 824 flagged used_by_agis_al.
# Reference point for centroid_pos_al: ra0 = 209.506326888 deg, dec0 = 31.695499700 deg.
# Gaia DR3 G = 11.91.
#
source_id,transit_id,epoch,scan_pos_angle,parallax_factor_al,centroid_pos_al,centroid_pos_error_al,ipd_error_al,used_by_agis_al,outlier_flag
1457486023639239296,16408591767097653,56890.584885344,27.122828760,-0.46909353,48.055487155,0.9599887,0.050602127,false,1
1457486023639239296,16408591767097653,56890.584941594,27.122788597,-0.46909353,43.786699630,1.0191941,0.0552058,false,1
1457486023639239296,16408591767097653,56890.584997845,27.122748409,-0.46909353,45.544448593,0.5675027,0.05276035,false,1
1457486023639239296,16408591767097653,56890.585054056,27.122708199,-0.46909353,46.076105923,0.3044069,0.058857694,false,1
1457486023639239296,16418332574234133,56890.760646926,27.012886084,-0.46907407,78.761189645,0.104954556,0.10496014,false,1
1457486023639239296,16418332574234133,56890.760761676,27.012801524,-0.46907407,53.707203971,3.097451,0.060380038,false,1
1457486023639239296,16418332574234133,56890.760817878,27.012760588,-0.46907407,51.059993615,1.4632835,0.061694346,false,1
1457486023639239296,16418332574234133,56890.760874125,27.012719968,-0.46907407,46.351312012,0.60179484,0.062207785,false,1
1457486023639239296,16418332574234133,56890.760930377,27.012679700,-0.46907407,45.794810520,0.5495783,0.057927612,false,1
1457486023639239296,16418332574234133,56890.760986627,27.012639801,-0.46907407,45.826430231,0.40774456,0.056459278,false,1
1457486023639239296,16418332574234133,56890.761042872,27.012600282,-0.46907407,44.787688383,0.77134156,0.054083344,false,1
1457486023639239296,16418332574234133,56890.761099119,27.012561145,-0.46907407,43.416665029,0.7791746,0.04873576,false,1
1457486023639239296,16418332574234133,56890.761155375,27.012522359,-0.46907407,45.035972713,0.5766014,0.05278423,false,1
